epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,12532,74.32544397914451,1.148,25340.462504733372,0.681,656474067634827.5
0,11694,24.822167937820826,1.413,17959.65829195141,0.698,846261988800501.0
0,11716,5.0592188326168746,0.993,77.2504883614598,1.019,1613321057149804.8
0,11950,3.903475950423943,0.917,31.949865527783825,0.933,1903035801825032.5
0,11195,99.16778764729044,1.251,70234.145942313,0.71,515682237733567.2
0,11998,6.192026699159251,1.06,140.7740406265867,1.036,2282065660026421.0
0,274,57.23641538124952,1.196,15486.930156379134,0.633,88330363685572.58
0,11407,29.21204895738307,1.229,5180.5783122775565,0.664,707118321101505.9
0,46,13.325045974263386,1.07,824.2448789642478,0.544,319271208676899.25
0,11326,46.542395453193656,1.145,20625.554623253167,0.567,246021990969471.84
0,11335,27.03355170036375,1.102,5242.080870151643,0.438,837041423051902.1
0,12197,21.631600986607623,1.018,1736.4346162123054,0.726,1189247236678976.8
0,11693,29.91711879425528,1.04,2038.0061450725307,0.409,245392551333271.03
0,11780,12.1791186610813,1.057,534.3099987459469,0.841,2164109970847309.0
0,12502,8.519265308815891,1.033,199.88667223429417,0.62,615930760071656.2
0,11866,15.4128836904555,1.095,923.5911505843047,0.916,2203029598609230.5
0,11400,54.03623456406296,1.059,10076.779999143491,0.445,884597144403107.0
0,12256,95.09838155077792,1.074,46402.39368763738,0.311,368332276038389.4
0,10320,45.47501558552491,1.174,18367.31113208333,0.75,789212454051187.0
0,10030,9.966624801210058,0.984,309.960026021274,0.723,1111744119402360.9
