id,product_id,created,tag,shop_id,price,price_diff
52626696,211757,2021-09-03 10:50:37,normal,199,1126,-4
52033220,211757,2021-08-11 10:42:22,normal,58,1130,23
51979185,211757,2021-08-09 10:38:09,normal,199,1107,5
51889954,211757,2021-08-05 10:56:17,normal,199,1102,2
51861199,211757,2021-08-04 10:46:24,normal,199,1100,3
51802308,211757,2021-08-02 10:58:06,normal,199,1097,-18
51769966,211757,2021-07-31 10:40:27,normal,199,1115,8
51741802,211757,2021-07-30 11:03:25,normal,199,1107,-7
51705645,211757,2021-07-29 10:42:42,normal,199,1114,5
51670879,211757,2021-07-28 10:46:39,normal,199,1109,-10
51614974,211757,2021-07-26 10:45:30,normal,199,1119,-12
51584129,211757,2021-07-24 10:50:03,normal,199,1131,6
51556467,211757,2021-07-23 10:48:00,normal,199,1125,9
51524299,211757,2021-07-22 11:08:02,normal,199,1116,10
51489219,211757,2021-07-21 10:46:23,normal,199,1106,3
51429722,211757,2021-07-19 10:49:33,normal,199,1103,6
51399074,211757,2021-07-17 10:40:10,normal,199,1097,6
51367506,211757,2021-07-16 10:43:33,normal,199,1091,-2
51334611,211757,2021-07-15 10:58:54,normal,199,1093,-7
51307010,211757,2021-07-14 10:48:05,normal,199,1100,4
51251158,211757,2021-07-12 10:50:04,normal,199,1096,5
51210691,211757,2021-07-10 10:40:26,normal,199,1091,15
51181202,211757,2021-07-09 10:39:47,normal,199,1076,-1
51151971,211757,2021-07-08 10:40:37,normal,199,1077,-6
51124608,211757,2021-07-07 10:50:07,normal,199,1083,4
51060701,211757,2021-07-05 10:39:51,normal,199,1079,6
51028190,211757,2021-07-03 10:40:16,normal,199,1073,-3
51000676,211757,2021-07-02 10:56:26,normal,199,1076,7
50973958,211757,2021-07-01 13:48:25,normal,199,1069,4
50935415,211757,2021-06-30 10:59:42,normal,199,1065,-3
50841015,211757,2021-06-26 10:47:46,normal,199,1068,-8
50811858,211757,2021-06-25 10:48:11,normal,199,1076,-10
50780341,211757,2021-06-24 11:02:09,normal,199,1086,8
50745541,211757,2021-06-23 10:52:27,normal,199,1078,8
50709541,211757,2021-06-22 11:05:03,normal,199,1070,-2
50681508,211757,2021-06-21 10:50:05,normal,199,1072,25
50644558,211757,2021-06-19 10:43:05,normal,199,1047,3
50612080,211757,2021-06-18 10:40:32,normal,199,1044,-2
50574939,211757,2021-06-17 10:53:13,normal,199,1046,3
50558659,211757,2021-06-16 22:46:18,normal,199,1043,-24
50544336,211757,2021-06-16 10:57:12,normal,199,1067,-1
50491031,211757,2021-06-14 10:43:55,normal,199,1068,11
50453781,211757,2021-06-12 10:49:11,normal,199,1057,-5
50422348,211757,2021-06-11 10:39:36,normal,199,1062,-2
50384312,211757,2021-06-10 10:39:11,normal,199,1064,-12
50353880,211757,2021-06-09 10:43:56,normal,199,1076,5
50326330,211757,2021-06-08 11:32:23,normal,199,1071,3
