id,uuid,event,value,created
391228496,1612964280199,product_view,327355,2021-09-09 12:45:53.000000
391228497,1582409280964,frontpage_view,undefined,2021-09-09 12:45:53.000000
391228495,1624347466757,offers_view,undefined,2021-09-09 12:45:52.000000
391228494,1600863495972,product_view,288616,2021-09-09 12:45:51.000000
391228491,1612964280199,product_view,261932,2021-09-09 12:45:50.000000
391228492,1624347466757,offers_view,undefined,2021-09-09 12:45:50.000000
391228493,1609692609518,product_view,474691,2021-09-09 12:45:50.000000
391228488,1631184346320,goto,336560,2021-09-09 12:45:49.000000
391228489,1631183408809,product_view,457497,2021-09-09 12:45:49.000000
391228490,1631184349165,frontpage_view,undefined,2021-09-09 12:45:49.000000
391228483,0,product_view,492227,2021-09-09 12:45:48.000000
391228484,1631184350404,product_view,431939,2021-09-09 12:45:48.000000
391228485,1619085690186,frontpage_view,undefined,2021-09-09 12:45:48.000000
391228486,1624347466757,frontpage_view,undefined,2021-09-09 12:45:48.000000
391228487,1631184342400,goto,499694,2021-09-09 12:45:48.000000
391228479,1560101627678,product_view,491635,2021-09-09 12:45:47.000000
391228480,1612964280199,product_view,479664,2021-09-09 12:45:47.000000
391228481,1603716762543,product_view,470950,2021-09-09 12:45:47.000000
391228482,1630696413442,goto,433933,2021-09-09 12:45:47.000000
391228478,1631184346320,product_view,336560,2021-09-09 12:45:46.000000
391228474,1631183408809,offers_view,undefined,2021-09-09 12:45:44.000000
391228475,1600863495972,frontpage_view,undefined,2021-09-09 12:45:44.000000
391228476,1574629980968,offers_view,https://prisguiden.no/tilbud?f%5Bc%5D%5B%5D=11747&f%5Bc%5D%5B%5D=10049&f%5Bb%5D=1,2021-09-09 12:45:44.000000
391228477,0,product_view,492594,2021-09-09 12:45:44.000000
391228470,1631184343128,product_view,444496,2021-09-09 12:45:43.000000
391228471,1628499842055,frontpage_view,undefined,2021-09-09 12:45:43.000000
391228472,1630696413442,product_view,433933,2021-09-09 12:45:43.000000
391228473,1631183325224,product_view,426701,2021-09-09 12:45:43.000000
391228468,1563165012503,product_view,516635,2021-09-09 12:45:42.000000
391228469,1631184342400,product_view,499694,2021-09-09 12:45:42.000000
391228467,1630927626062,goto,337703,2021-09-09 12:45:41.000000
391228464,1616148921051,goto,323697,2021-09-09 12:45:40.000000
391228465,1631184320482,product_view,368552,2021-09-09 12:45:40.000000
391228466,1623925878610,product_view,311471,2021-09-09 12:45:40.000000
391228462,1631184023646,product_view,399155,2021-09-09 12:45:39.000000
391228463,1630431074739,goto,472141,2021-09-09 12:45:39.000000
391228461,1602076757973,goto,465664,2021-09-09 12:45:38.000000
391228460,1631184253031,product_view,454692,2021-09-09 12:45:37.000000
391228459,1602076757973,product_view,465664,2021-09-09 12:45:36.000000
391228458,1619540967931,frontpage_view,undefined,2021-09-09 12:45:35.000000
391228456,1605954953378,goto,512666,2021-09-09 12:45:34.000000
391228457,1621584822156,product_view,502641,2021-09-09 12:45:34.000000
391228452,1631183408809,frontpage_view,undefined,2021-09-09 12:45:33.000000
391228453,1631184333236,product_view,464717,2021-09-09 12:45:33.000000
391228454,1579009539979,frontpage_view,undefined,2021-09-09 12:45:33.000000
391228455,0,product_view,250659,2021-09-09 12:45:33.000000
391228447,1577217442135,goto,470965,2021-09-09 12:45:32.000000
391228448,1631184330309,product_view,267442,2021-09-09 12:45:32.000000
391228449,1622620976409,product_view,251708,2021-09-09 12:45:32.000000
391228450,1631184332310,product_view,471160,2021-09-09 12:45:32.000000
391228451,1574629980968,offers_view,https://prisguiden.no/tilbud?f%5Bc%5D%5B%5D=11747&f%5Bb%5D=1,2021-09-09 12:45:32.000000
391228445,1631183408809,product_view,495936,2021-09-09 12:45:31.000000
391228446,1608406671849,product_view,244290,2021-09-09 12:45:31.000000
391228442,1631012549956,product_view,314198,2021-09-09 12:45:30.000000
391228443,1631184044572,frontpage_view,undefined,2021-09-09 12:45:30.000000
391228444,1630431074739,goto,472141,2021-09-09 12:45:30.000000
391228441,1631184329816,product_view,507169,2021-09-09 12:45:29.000000
391228438,0,product_view,396819,2021-09-09 12:45:28.000000
391228439,1631183408809,product_view,493508,2021-09-09 12:45:28.000000
391228440,1628285277322,frontpage_view,undefined,2021-09-09 12:45:28.000000
