parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Sokker,Varmesokker,category,/3228/3228029/i.40x75!m.jpg,732 produkter,Varmesokker,Varmesokker,/kategorier/varmesokker,filter,Klær og sko>Undertøy>Sokker>Varmesokker,1717733688123326465,13558,4579,Klær og sko,,Varmesokker,13558,,false,2021-11-29T04:01:40.783Z,"Klær og sko,Undertøy,Sokker"
Skotilbehør,Varmesåler,category,/3180/3180045/varmesa%CC%8Aler.50x75!m.jpg,25 produkter,Varmesåler,Varmesåler,/kategorier/varmesaaler,products,Klær og sko>Sko>Skotilbehør>Varmesåler,1717733688123326466,13327,6845,Klær og sko,,Varmesåler,13327,,false,2021-11-29T04:01:40.783Z,"Klær og sko,Sko,Skotilbehør"
Kroppspleie,Varmeteppe,category,/2968/2968938/original.100x75!m.jpg,55 produkter,Varmeteppe,Varmeteppe,/kategorier/varmeteppe,products,Skjønnhet og helse>Kroppspleie>Varmeteppe,1717733688124375040,11516,4634,Skjønnhet og helse,"varmelaken,varmepledd,varmeteppe",Varmeteppe,11516,"varmeteppe,varmepledd,varmelaken",false,2021-11-29T04:01:40.783Z,"Skjønnhet og helse,Kroppspleie"
Stylingverktøy,Varmluftsbørste,category,/1557/1557671/varmluftsb%C3%B8rste.76x75!m.jpg,84 produkter,Varmluftsbørste,Varmluftsbørste,/kategorier/varmluftsborste,products,Skjønnhet og helse>Stylingverktøy>Varmluftsbørste,1717733688124375041,11295,6578,Skjønnhet og helse,"hårbørste med varme,varmbørste,varmluft",Varmluftsbørste,11295,"varmbørste,hårbørste med varme,varmluft",false,2021-11-29T04:01:40.783Z,"Skjønnhet og helse,Stylingverktøy"
Bad,Varmtvannsbereder,category,/1718/1718170/original.42x75!m.jpg,49 produkter,Varmtvannsbereder,Varmtvannsbereder,/kategorier/varmtvannsbereder,products,Bygg og verktøy>Bad>Varmtvannsbereder,1717733688124375042,11394,3134,Bygg og verktøy,"bereder,vvb",Varmtvannsbereder,11394,"vvb,bereder",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Bad"
Interiør,Vase,category,/2968/2968343/original.58x75!m.jpg,484 produkter,Vase,Vase,/kategorier/vase,products,Hjem og husholdning>Interiør>Vase,1717733688125423616,11445,2154,Hjem og husholdning,,Vase,11445,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Interiør"
Babyutstyr,Vaskeklut og gulpeklut,category,/3251/3251875/i.80x75!m.jpg,37 produkter,Vaskeklut og gulpeklut,Vaskeklut og gulpeklut,/kategorier/vaskeklut-og-gulpeklut,products,Foreldre og barn>Babyutstyr>Vaskeklut og gulpeklut,1717733688125423617,13649,1164,Foreldre og barn,,Vaskeklut og gulpeklut,13649,,false,2021-11-29T04:01:40.783Z,"Foreldre og barn,Babyutstyr"
Hvitevarer,Vaskemaskin,category,/1687/1687382/original.60x75!m.jpg,404 produkter,Vaskemaskin,Vaskemaskin,/kategorier/vaskemaskin,products,Hvitevarer>Vaskemaskin,1717733688126472192,249,16415,Hvitevarer,,Vaskemaskin,249,,false,2021-11-29T04:01:40.783Z,Hvitevarer
Nivellering,Vater,category,/1681/1681288/original.76x75!m.jpg,63 produkter,Vater,Vater,/kategorier/vater,products,Bygg og verktøy>Verktøy>Måleverktøy og laserverktøy>Nivellering>Vater,1717733688126472193,11459,1342,Bygg og verktøy,"vaterpass,vaterstokk",Vater,11459,"vaterpass,vaterstokk",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy,Måleverktøy og laserverktøy,Nivellering"
Peistilbehør,Ved,category,/3039/3039263/765016.60x75!m.jpg,47 produkter,Ved,Ved,/kategorier/ved,filter,Bygg og verktøy>Ovn og peis>Peistilbehør>Ved,1717733688126472194,12750,11644,Bygg og verktøy,bjørkeved,Ved,12750,bjørkeved,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Ovn og peis,Peistilbehør"
Verktøy,Ved og trefelling,category,/2986/2986614/original.82x75!m.png,432 produkter,Ved og trefelling,Ved og trefelling,/kategorier/ved-og-trefelling,categories,Bygg og verktøy>Verktøy>Ved og trefelling,1717733688126472195,12436,6745,Bygg og verktøy,hogst,Ved og trefelling,12436,hogst,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy"
Ved og trefelling,Vedkløyver,category,/2879/2879694/original.110x75!m.jpg,42 produkter,Vedkløyver,Vedkløyver,/kategorier/vedkloyver,products,Bygg og verktøy>Verktøy>Ved og trefelling>Vedkløyver,1717733688127520768,11953,4656,Bygg og verktøy,,Vedkløyver,11953,,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy,Ved og trefelling"
Småoppbevaring,Vedkurv,category,/2968/2968961/original.76x75!m.jpg,293 produkter,Vedkurv,Vedkurv,/kategorier/vedkurv,filter,Hjem og husholdning>Interiør>Småoppbevaring>Vedkurv,1717733688127520769,12268,2025,Hjem og husholdning,,Vedkurv,12268,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Interiør,Småoppbevaring"
Ovn og peis,Vedovn og peisovn,category,/2906/2906493/original.38x75!m.jpg,330 produkter,Vedovn og peisovn,Vedovn og peisovn,/kategorier/vedovn-og-peisovn,products,Bygg og verktøy>Ovn og peis>Vedovn og peisovn,1717733688127520770,12049,8052,Bygg og verktøy,"peis,peisinnsats",Vedovn og peisovn,12049,"peis,peisinnsats",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Ovn og peis"
Hylle,Vegghylle,category,/3140/3140622/p_26652-01-01.82x75!m.jpg,342 produkter,Vegghylle,Vegghylle,/kategorier/vegghylle,filter,Hjem og husholdning>Møbler>Hylle>Vegghylle,1717733688128569344,13111,1636,Hjem og husholdning,"hylle vegg,vegghengt hylle",Vegghylle,13111,"vegghengt hylle,hylle vegg",false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Møbler,Hylle"
Høyttalere og tilbehør,Vegghøyttaler,category,/1591/1591613/Veggh%C3%B8yttaler.80x75!m.jpg,98 produkter,Vegghøyttaler,Vegghøyttaler,/kategorier/vegghoyttaler,products,Lyd og bilde>HiFi>Høyttalere og tilbehør>Vegghøyttaler,1717733688128569345,11362,1273,Lyd og bilde,"speaker,vegghøyttalere,wall,wallmounted",Vegghøyttaler,11362,"vegghøyttalere,wall,speaker,wallmounted",false,2021-11-29T04:01:40.783Z,"Lyd og bilde,HiFi,Høyttalere og tilbehør"
Lampe,Vegglampe,category,/2965/2965807/original.90x75!m.jpg,1562 produkter,Vegglampe,Vegglampe,/kategorier/vegglampe,filter,Hjem og husholdning>Lampe>Vegglampe,1717733688128569346,12234,4783,Hjem og husholdning,,Vegglampe,12234,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Lampe"
Trelast og byggevarer,Veggplater og bygningsplater,category,/3073/3073007/xlarge.112x75!m.jpg,274 produkter,Veggplater og bygningsplater,Veggplater og bygningsplater,/kategorier/veggplater-og-bygningsplater,products,Bygg og verktøy>Trelast og byggevarer>Veggplater og bygningsplater,1717733688129617920,12827,5956,Bygg og verktøy,,Veggplater og bygningsplater,12827,,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Trelast og byggevarer"
Skap,Veggskap,category,/3138/3138517/d29ac6d7-be89-4cc8-8db5-57b44325c648.66x75!m.jpg,422 produkter,Veggskap,Veggskap,/kategorier/veggskap,filter,Hjem og husholdning>Møbler>Skap>Veggskap,1717733688129617921,13095,1462,Hjem og husholdning,,Veggskap,13095,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Møbler,Skap"
Interiør,Veggur,category,/2968/2968152/original.74x75!m.jpg,55 produkter,Veggur,Veggur,/kategorier/veggur,products,Hjem og husholdning>Interiør>Veggur,1717733688129617922,11635,1257,Hjem og husholdning,veggklokke,Veggur,11635,veggklokke,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Interiør"
Interiør,Vekkerklokke,category,/3120/3120731/43678.1.68x75!m.jpg,49 produkter,Vekkerklokke,Vekkerklokke,/kategorier/vekkerklokke,products,Hjem og husholdning>Interiør>Vekkerklokke,1717733688130666496,11660,2276,Hjem og husholdning,vekkeklokke,Vekkerklokke,11660,vekkeklokke,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Interiør"
Dyne,Vektdyne,category,/3140/3140762/jot_1577751-01_Fs.162x75!m.png,107 produkter,Vektdyne,Vektdyne,/kategorier/vektdyne,filter,Hjem og husholdning>Tekstil>Dyne>Vektdyne,1717733688130666497,13115,2983,Hjem og husholdning,,Vektdyne,13115,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Tekstil,Dyne"
Apotek,Vektkontroll,category,/3124/3124682/909229.84x75!m.jpg,33 produkter,Vektkontroll,Vektkontroll,/kategorier/vektkontroll,products,Skjønnhet og helse>Apotek>Vektkontroll,1717733688130666498,11683,1393,Skjønnhet og helse,"meal,måltidserstatter,replacement,slankekur,slankepulver",Vektkontroll,11683,"meal,replacement,måltidserstatter,slankepulver,slankekur",false,2021-11-29T04:01:40.783Z,"Skjønnhet og helse,Apotek"
Treningsutstyr,Vektskiver og vektstang,category,/3281/3281779/300609.74x75!m.jpg,44 produkter,Vektskiver og vektstang,Vektskiver og vektstang,/kategorier/vektskiver-og-vektstang,products,Sport og friluftsliv>Trening>Treningsutstyr>Vektskiver og vektstang,1717733688130666499,12731,1328,Sport og friluftsliv,,Vektskiver og vektstang,12731,,false,2021-11-29T04:01:40.783Z,"Sport og friluftsliv,Trening,Treningsutstyr"
Treningsutstyr,Vektvest,category,/3028/3028938/original.62x75!m.jpg,19 produkter,Vektvest,Vektvest,/kategorier/vektvest,products,Sport og friluftsliv>Trening>Treningsutstyr>Vektvest,1717733688131715072,12729,1508,Sport og friluftsliv,,Vektvest,12729,,false,2021-11-29T04:01:40.783Z,"Sport og friluftsliv,Trening,Treningsutstyr"
Hvitevarer,Ventilator,category,/1066/1066091/category_11055_logo.102x75!m.jpg,754 produkter,Ventilator,Ventilator,/kategorier/ventilator,products,Hvitevarer>Ventilator,1717733688131715073,11055,2945,Hvitevarer,"kjøkkenventilator,kjøkkenvifte",Ventilator,11055,"kjøkkenvifte,kjøkkenventilator",false,2021-11-29T04:01:40.783Z,Hvitevarer
Bygg og verktøy,Verktøy,category,/2578/2578706/original.102x75!m.jpg,6491 produkter,Verktøy,Verktøy,/kategorier/verktoy,categories,Bygg og verktøy>Verktøy,1717733688131715074,10119,14356,Bygg og verktøy,,Verktøy,10119,,false,2021-11-29T04:01:40.783Z,Bygg og verktøy
Verktøy,Verktøy - Øvrig,category,/1115/1115344/original.102x75!m.jpg,202 produkter,Verktøy - Øvrig,Verktøy - Øvrig,/kategorier/verktoy-ovrig,products,Bygg og verktøy>Verktøy>Verktøy - Øvrig,1717733688131715075,11075,4191,Bygg og verktøy,,Verktøy - Øvrig,11075,,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy"
Verktøy,Verktøykasse og verktøyvogn,category,/2576/2576152/original.76x75!m.jpg,71 produkter,Verktøykasse og verktøyvogn,Verktøykasse og verktøyvogn,/kategorier/verktoykasse-og-verktoyvogn,products,Bygg og verktøy>Verktøy>Verktøykasse og verktøyvogn,1717733688131715076,11887,2215,Bygg og verktøy,"verktøyboks,verktøyskap,verktøyveske,verktøyvogn",Verktøykasse og verktøyvogn,11887,"verktøyveske,verktøyboks,verktøyvogn,verktøyskap",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy"
Elektroverktøy,Verktøypakke,category,/2578/2578435/original.74x75!m.jpg,83 produkter,Verktøypakke,Verktøypakke,/kategorier/verktoypakke,products,Bygg og verktøy>Verktøy>Elektroverktøy>Verktøypakke,1717733688132763648,11886,6380,Bygg og verktøy,kombipakke,Verktøypakke,11886,kombipakke,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy,Elektroverktøy"
Verktøy,Verktøysett,category,/1591/1591558/verkt%C3%B8ysett.76x75!m.jpg,118 produkter,Verktøysett,Verktøysett,/kategorier/verktoysett,products,Bygg og verktøy>Verktøy>Verktøysett,1717733688132763649,11359,5369,Bygg og verktøy,"bitsett,bitssett,håndverktøy,pipesett",Verktøysett,11359,"håndverktøy,pipesett,bitsett,bitssett",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy"
Accessories og tilbehør,Veske og PC-bag,category,/2933/2933910/original.48x75!m.jpg,385 produkter,Veske og PC-bag,Veske og PC-bag,/kategorier/veske-og-pc-bag,products,Klær og sko>Accessories og tilbehør>Veske og PC-bag,1717733688132763650,11642,5856,Klær og sko,"bag,clutch,crossover,day,herreveske,håndveske,kors,kortholder,michael,pengepung,shopper,shoppingbag,shoppingveske,shoulder,skinnlommebok,skulderveske,tote,veske,wallet",Veske og PC-bag,11642,"kortholder,clutch,crossover,skulderveske,shopper,day,bag,shoppingbag,shoppingveske,tote,veske,veske,håndveske,michael,kors,shoulder,bag,skulderveske,herreveske,veske,wallet,skinnlommebok,pengepung",false,2021-11-29T04:01:40.783Z,"Klær og sko,Accessories og tilbehør"
Ytterjakke,Vest og boblevest,category,/3088/3088985/16553411r.296x490m.46x75!m.jpg,158 produkter,Vest og boblevest,Vest og boblevest,/kategorier/vest-og-boblevest,products,Klær og sko>Ytterjakke>Vest og boblevest,1717733688133812224,10322,3545,Klær og sko,"seilerjakke,seiljakke,skinnjakke,vest",Vest og boblevest,10322,"skinnjakke,vest,seiljakke,seilerjakke",false,2021-11-29T04:01:40.783Z,"Klær og sko,Ytterjakke"
Ytterjakke til barn,Vest og boblevest til barn,category,/3186/3186607/i.42x75!m.jpg,11 produkter,Vest og boblevest til barn,Vest og boblevest til barn,/kategorier/vest-og-boblevest-til-barn,products,Klær og sko>Barneklær>Ytterjakke til barn>Vest og boblevest til barn,1717733688134860800,13366,1043,Klær og sko,,Vest og boblevest til barn,13366,,false,2021-11-29T04:01:40.783Z,"Klær og sko,Barneklær,Ytterjakke til barn"
Skjermkabler,VGA-kabel,category,/2991/2991879/original.70x75!m.jpg,145 produkter,VGA-kabel,VGA-kabel,/kategorier/vga-kabel,filter,Data>Datatilbehør>Kabler (signal og datakabler)>Skjermkabler>VGA-kabel,1717733688135909376,12459,1458,Data,,VGA-kabel,12459,,false,2021-11-29T04:01:40.783Z,"Data,Datatilbehør,Kabler (signal og datakabler),Skjermkabler"
Sexleketøy,Vibrator,category,/3208/3208825/i.26x75!m.jpg,558 produkter,Vibrator,Vibrator,/kategorier/vibrator,filter,Skjønnhet og helse>Sex og lyst>Sexleketøy>Vibrator,1717733688135909377,13456,3208,Skjønnhet og helse,,Vibrator,13456,,true,2021-11-29T04:01:40.783Z,"Skjønnhet og helse,Sex og lyst,Sexleketøy"
Foto og video,Videokamera,category,/579/579789/350.128x75!m.jpg,75 produkter,Videokamera,Videokamera,/kategorier/videokamera,products,Foto og video>Videokamera,1717733688135909378,34,1544,Foto og video,,Videokamera,34,,false,2021-11-29T04:01:40.783Z,Foto og video
Varmeovn,Vifteovn,category,/3018/3018352/original.50x75!m.jpg,655 produkter,Vifteovn,Vifteovn,/kategorier/vifteovn,filter,Hjem og husholdning>Varme og klima>Varmeovn>Vifteovn,1717733688136957952,12618,18664,Hjem og husholdning,,Vifteovn,12618,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Varme og klima,Varmeovn"
Kjøling,Vifter,category,/3085/3085878/FG06BCS_174426.70x75!m.jpg,225 produkter,Vifter,Vifter,/kategorier/vifter,products,Data>Datakomponenter>Kjøling>Vifter,1717733688136957953,44,2300,Data,,Vifter,44,,false,2021-11-29T04:01:40.783Z,"Data,Datakomponenter,Kjøling"
Kjøling,Viftestyring,category,/12/12931/digital_doc_5.112x75!m.jpg,5 produkter,Viftestyring,Viftestyring,/kategorier/viftestyring,products,Data>Datakomponenter>Kjøling>Viftestyring,1717733688136957954,79,1057,Data,,Viftestyring,79,,false,2021-11-29T04:01:40.783Z,"Data,Datakomponenter,Kjøling"
