epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,12322,318.6947645986001,1.165,335810.7084494303,0.188,8802651293746729.0
0,11428,170.7600128320421,1.142,129397.29417211332,0.265,2671111746036482.0
0,11850,184.05161357753997,1.12,109057.40641943201,0.366,3828784760261285.0
0,11852,94.0555409617487,1.1,26279.118202283044,0.331,2642245668923180.5
0,273,220.67704180786146,1.142,167225.2085453593,0.272,3076248047216568.0
0,11036,184.76013557524323,1.234,157720.62272678997,0.364,2304150780112737.5
0,11213,72.86969501140273,1.207,23739.52274108127,0.607,559030051945310.3
