product_id,category_id,main
509894,11546,1
451936,12018,1
451983,12007,1
439106,11907,1
437692,11278,1
434653,11415,1
425093,12332,1
424938,11565,1
522362,51,1
422398,12810,1
420518,10327,1
416622,11414,1
416255,11258,1
300175,11470,1
409919,11496,1
394561,11470,1
390718,11524,1
390766,11415,1
390596,11470,1
385459,11469,1
380438,11438,1
423859,11278,1
522361,51,1
422311,11415,1
522360,51,1
521082,12810,1
514718,11466,1
262680,56,1
382242,11442,1
250955,11443,1
415702,12083,1
424335,13356,1
505462,11563,1
487621,13471,1
446670,11470,1
440189,11415,1
436659,69,1
430326,11075,1
404685,11423,1
402411,11327,1
522358,11359,1
330054,11912,1
329470,280,1
322848,11048,1
494640,11470,1
489148,12018,1
434646,10136,1
404327,12887,1
422112,11415,1
401653,11427,1
390520,11658,1
463686,11893,1
494824,35,1
387535,13600,1
501813,13605,1
463107,13273,1
463208,13273,1
521762,13273,1
521817,13273,1
521818,13273,1
521840,13273,1
434559,32,1
463167,13273,1
463189,13273,1
463207,13273,1
463288,13273,1
463293,13273,1
463323,13273,1
473776,13349,1
521783,13273,1
521819,13273,1
348337,13365,1
455703,32,1
458738,32,1
463106,13273,1
463172,13273,1
463188,13273,1
463199,13273,1
463210,13273,1
463266,13273,1
491846,32,1
505094,32,1
514502,32,1
516630,32,1
521837,13273,1
414372,13523,1
430734,32,1
436354,32,1
446993,32,1
447269,32,1
462758,32,1
463169,13273,1
486010,32,1
500800,32,1
505093,32,1
376384,32,1
397482,32,1
411925,32,1
452799,32,1
463320,13273,1
316347,32,1
329908,32,1
372863,32,1
430725,32,1
170369,32,1
329669,32,1
366286,32,1
366793,32,1
182776,32,1
182857,32,1
228935,32,1
263628,32,1
330522,32,1
353291,32,1
97862,32,1
162310,32,1
229286,32,1
305668,32,1
181522,32,1
182315,32,1
208252,32,1
224794,32,1
229911,32,1
518875,11422,1
412655,11412,1
463460,11083,1
467283,11330,1
489989,11470,1
512569,13161,1
512570,13161,1
518036,11470,1
312668,11083,1
312669,11083,1
317183,11083,1
336217,11083,1
383249,11083,1
383253,11083,1
412658,11412,1
456164,11418,1
494563,11470,1
517706,11083,1
518034,11470,1
519656,11083,1
383250,11083,1
450970,11418,1
463490,11083,1
491513,11083,1
494532,11470,1
494558,11470,1
494622,11470,1
494701,11470,1
494702,11470,1
494703,11470,1
519654,11083,1
519658,11083,1
280681,12888,1
505972,11633,1
468051,12488,1
489555,12484,1
390673,11524,1
496870,11524,1
507507,12547,1
484534,11083,1
506228,11285,1
507498,12015,1
518017,11083,1
392695,11083,1
503485,10101,1
505375,10101,1
507728,13349,1
509635,11524,1
518529,11083,1
269739,10101,1
438288,12015,1
505435,10101,1
505451,10101,1
507482,12007,1
516285,10101,1
518638,11422,1
341875,11996,1
504972,12484,1
507405,12007,1
507530,13349,1
474720,12011,1
483482,12195,1
495452,11470,1
502617,12810,1
508682,12332,1
508979,12332,1
444285,12195,1
498226,11422,1
512444,11412,1
371823,11422,1
454423,13146,1
502615,12810,1
469428,11524,1
491948,11535,1
501482,11535,1
522343,11894,1
245911,11524,1
433832,11414,1
433834,11414,1
433837,11414,1
467535,11414,1
469448,11535,1
491949,11537,1
520691,11414,1
522347,11642,1
309576,12322,1
410562,12810,1
469385,10325,1
491947,11205,1
491952,11531,1
522344,11531,1
365173,11537,1
378184,12280,1
395049,11524,1
451935,12018,1
457967,11524,1
469441,11205,1
478039,11422,1
502349,11546,1
502351,11546,1
415450,12015,1
423205,12332,1
431386,10325,1
494794,11470,1
502352,11546,1
508609,12332,1
259965,11663,1
423200,11599,1
490504,11422,1
508681,12332,1
328562,12018,1
378186,12280,1
438295,12018,1
438862,11422,1
515077,11422,1
378187,12280,1
484044,11422,1
519348,13359,1
519349,13359,1
519351,13695,1
519355,13695,1
335810,13223,1
398102,11285,1
416467,11597,1
430874,11470,1
448385,13593,1
451427,12018,1
451431,12015,1
485650,11531,1
491076,12484,1
518561,11422,1
403125,11427,1
451556,12015,1
454518,13146,1
498234,11422,1
518570,11422,1
518591,11422,1
442768,13424,1
442769,12007,1
505941,11633,1
507274,11427,1
507349,11427,1
508057,12007,1
280337,11470,1
376587,10328,1
508056,12547,1
269719,10101,1
418493,11470,1
437848,11535,1
447957,11966,1
448154,11966,1
503247,11524,1
508054,12007,1
508087,13366,1
508098,12007,1
508100,12007,1
518503,11083,1
376586,10328,1
427490,12195,1
440157,12018,1
449344,13684,1
505224,12281,1
505226,12281,1
505231,12281,1
518487,10328,1
518522,11083,1
518552,11083,1
