id,product_id,manufacturer_id,cat_id,root_cat_id,date,hits,clicks,last_modified
31265877,211757,722,11573,101,2021-05-14,3,0,2021-05-15 05:19:04.282169
31234802,211757,722,11573,101,2021-05-13,2,1,2021-05-14 05:24:49.212131
31207264,211757,722,11573,101,2021-05-12,1,1,2021-05-13 05:35:04.560903
31161175,211757,722,11573,101,2021-05-11,4,0,2021-05-12 05:17:36.610873
31092454,211757,722,11573,101,2021-05-09,2,0,2021-05-10 05:34:43.774131
31030564,211757,722,11573,101,2021-05-07,1,0,2021-05-08 05:36:40.448275
30954297,211757,722,11573,101,2021-05-05,2,0,2021-05-06 05:28:56.326675
30887814,211757,722,11573,101,2021-05-03,1,0,2021-05-04 05:55:01.037036
30838862,211757,722,11573,101,2021-05-02,3,1,2021-05-03 05:24:23.457185
30702612,211757,722,11573,101,2021-04-28,2,0,2021-04-29 05:28:25.929645
30627944,211757,722,11573,101,2021-04-26,2,0,2021-04-27 05:35:33.158175
30512252,211757,722,11573,101,2021-04-23,2,0,2021-04-24 05:26:49.578027
30469466,211757,722,11573,101,2021-04-22,5,1,2021-04-23 05:15:17.898700
30446209,211757,722,11573,101,2021-04-21,1,0,2021-04-22 05:49:37.612904
30371044,211757,722,11573,101,2021-04-19,1,0,2021-04-20 05:53:23.877523
30292940,211757,722,11573,101,2021-04-17,2,0,2021-04-18 05:23:49.328654
30231101,211757,722,11573,101,2021-04-15,1,0,2021-04-16 05:46:48.501083
30156260,211757,722,11573,101,2021-04-13,1,0,2021-04-14 05:50:54.760115
30078051,211757,722,11573,101,2021-04-11,1,1,2021-04-12 05:56:56.136213
30039446,211757,722,11573,101,2021-04-10,1,0,2021-04-11 05:44:49.094164
29991505,211757,722,11573,101,2021-04-09,3,0,2021-04-10 05:20:57.697924
29914673,211757,722,11573,101,2021-04-07,3,1,2021-04-08 05:26:45.196183
29886959,211757,722,11573,101,2021-04-06,1,0,2021-04-07 05:58:29.324487
29762191,211757,722,11573,101,2021-04-03,3,0,2021-04-04 05:16:52.718162
29739000,211757,722,11573,101,2021-04-02,1,0,2021-04-03 05:36:42.081034
29705451,211757,722,11573,101,2021-04-01,1,0,2021-04-02 05:32:38.388819
29623204,211757,722,11573,101,2021-03-30,3,0,2021-03-31 05:19:52.082615
29582550,211757,722,11573,101,2021-03-29,6,2,2021-03-30 05:13:36.999173
29553842,211757,722,11573,101,2021-03-28,2,0,2021-03-29 05:27:26.773420
29515737,211757,722,11573,101,2021-03-27,3,3,2021-03-28 05:19:00.997041
29485248,211757,722,11573,101,2021-03-26,2,2,2021-03-27 05:22:19.472162
29458302,211757,722,11573,101,2021-03-25,1,0,2021-03-26 05:38:28.432116
29410425,211757,722,11573,101,2021-03-24,4,0,2021-03-25 05:17:01.933873
29386494,211757,722,11573,101,2021-03-23,1,0,2021-03-24 05:47:23.322521
29309990,211757,722,11573,101,2021-03-21,1,0,2021-03-22 05:55:01.866668
29225463,211757,722,11573,101,2021-03-19,3,1,2021-03-20 05:17:44.830523
29200721,211757,722,11573,101,2021-03-18,1,2,2021-03-19 05:40:51.671308
29153582,211757,722,11573,101,2021-03-17,3,2,2021-03-18 05:20:28.627911
29120417,211757,722,11573,101,2021-03-16,2,0,2021-03-17 05:28:46.248022
29083176,211757,722,11573,101,2021-03-15,2,1,2021-03-16 05:30:24.483529
29035937,211757,722,11573,101,2021-03-14,8,1,2021-03-15 05:11:32.229030
29015974,211757,722,11573,101,2021-03-13,1,0,2021-03-14 05:37:46.732775
28931364,211757,722,11573,101,2021-03-11,6,3,2021-03-12 05:12:10.610431
28902564,211757,722,11573,101,2021-03-10,2,0,2021-03-11 05:26:18.577550
28858551,211757,722,11573,101,2021-03-09,6,2,2021-03-10 05:12:27.521249
28837153,211757,722,11573,101,2021-03-08,1,0,2021-03-09 05:43:16.385951
28758572,211757,722,11573,101,2021-03-06,2,0,2021-03-07 05:23:24.620341
28724959,211757,722,11573,101,2021-03-05,2,0,2021-03-06 05:20:25.490480
28663188,211757,722,11573,101,2021-03-03,1,2,2021-03-04 05:40:26.794312
28618612,211757,722,11573,101,2021-03-02,2,0,2021-03-03 05:27:05.549978
28576651,211757,722,11573,101,2021-03-01,3,1,2021-03-02 05:22:51.697921
28543201,211757,722,11573,101,2021-02-28,2,1,2021-03-01 05:25:30.690771
28475124,211757,722,11573,101,2021-02-26,2,1,2021-02-27 05:20:57.054567
28369347,211757,722,11573,101,2021-02-23,2,0,2021-02-24 05:26:31.556175
28329217,211757,722,11573,101,2021-02-22,3,2,2021-02-23 05:24:12.465445
28296172,211757,722,11573,101,2021-02-21,2,0,2021-02-22 05:26:48.206369
28260595,211757,722,11573,101,2021-02-20,2,0,2021-02-21 05:22:32.356966
28233870,211757,722,11573,101,2021-02-19,1,1,2021-02-20 05:34:08.249419
28193631,211757,722,11573,101,2021-02-18,2,0,2021-02-19 05:24:04.126821
28158754,211757,722,11573,101,2021-02-17,2,0,2021-02-18 05:26:14.754402
28122951,211757,722,11573,101,2021-02-16,2,2,2021-02-17 05:27:28.637988
28085989,211757,722,11573,101,2021-02-15,2,2,2021-02-16 05:31:44.403880
28041652,211757,722,11573,101,2021-02-14,7,3,2021-02-15 05:10:52.349672
28009467,211757,722,11573,101,2021-02-13,5,0,2021-02-14 05:12:20.914416
27973434,211757,722,11573,101,2021-02-12,10,8,2021-02-13 05:08:42.097427
27948233,211757,722,11573,101,2021-02-11,2,0,2021-02-12 08:52:12.246152
27883865,211757,722,11573,101,2021-02-10,1,4,2021-02-11 21:12:39.247767
27670790,211757,722,11573,101,2021-02-08,8,6,2021-02-09 05:12:09.159905
27587185,211757,722,11573,101,2021-02-07,4,3,2021-02-08 05:20:09.883456
27562924,211757,722,11573,101,2021-02-06,1,1,2021-02-07 05:41:47.287600
27520513,211757,722,11573,101,2021-02-05,2,2,2021-02-06 05:26:24.920891
27484620,211757,722,11573,101,2021-02-04,2,1,2021-02-05 05:35:16.244741
27454669,211757,722,11573,101,2021-02-03,1,0,2021-02-04 05:53:53.333815
