215117702,415223,11536,8971,connected,415222,11536,8971,1499,2021-09-03 04:16:31.499640,11747
215117703,415223,11536,8971,root_popularity,453060,11422,8422,8,2021-09-03 04:16:31.605073,11747
215117704,415223,11536,8971,root_popularity,457372,11422,8422,8,2021-09-03 04:16:31.609812,11747
215117705,415223,11536,8971,root_popularity,390481,11524,16037,8,2021-09-03 04:16:31.615243,11747
215117706,415223,11536,8971,root_popularity,506708,11422,8422,8,2021-09-03 04:16:31.619640,11747
215117707,415223,11536,8971,root_popularity,266092,11423,3175,4,2021-09-03 04:16:31.623695,11747
215117708,418247,12760,16110,root_popularity,444149,13020,1249,8,2021-09-03 04:16:31.847739,11390
215117709,418247,12760,16110,root_popularity,488073,13451,11517,6,2021-09-03 04:16:31.857188,11390
215117710,418247,12760,16110,root_popularity,276243,13451,11517,3,2021-09-03 04:16:31.862031,11390
215117711,418247,12760,16110,root_popularity,426906,12173,17274,5,2021-09-03 04:16:31.866075,11390
215117712,418247,12760,16110,root_popularity,433933,12256,1249,5,2021-09-03 04:16:31.869550,11390
215117713,416959,11855,12862,user_events,219956,11855,6681,30,2021-09-03 04:16:32.013837,11750
215117714,416959,11855,12862,user_events,309344,11855,2818,13,2021-09-03 04:16:32.017002,11750
215117715,416959,11855,12862,user_events,352930,273,7713,12,2021-09-03 04:16:32.020056,11750
215117716,416959,11855,12862,user_events,403018,273,2824,8,2021-09-03 04:16:32.023556,11750
215117717,416959,11855,12862,user_events,402440,11812,12862,5,2021-09-03 04:16:32.027693,11750
215117718,416959,11855,12862,user_events,359091,11855,6872,4,2021-09-03 04:16:32.031319,11750
215117719,416959,11855,12862,user_events,295197,11855,2472,2,2021-09-03 04:16:32.036216,11750
215117720,416959,11855,12862,user_events,440938,11037,17660,3,2021-09-03 04:16:32.039823,11748
215117721,416959,11855,12862,user_events,341652,11282,10018,3,2021-09-03 04:16:32.043431,11750
215117722,416959,11855,12862,user_events,409693,273,3468,2,2021-09-03 04:16:32.046546,11750
215117723,416959,11855,12862,user_events,515214,11855,13989,2,2021-09-03 04:16:32.049798,11750
215117724,416959,11855,12862,user_events,515213,11855,15299,2,2021-09-03 04:16:32.052433,11750
215117725,416959,11855,12862,user_events,462819,11855,14062,2,2021-09-03 04:16:32.055263,11750
215117726,416959,11855,12862,root_popularity,504773,10343,12420,15,2021-09-03 04:16:32.159051,11750
