parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Varme og klima,Aircondition,category,/1395/1395377/aircondition.48x75!m.jpg,107 produkter,Aircondition,Aircondition,/kategorier/aircondition,products,Hjem og husholdning>Varme og klima>Aircondition,1711025782615179264,11195,1292,Hjem og husholdning,"Klimaanlegg,luftkjøler",Aircondition,11195,"Klimaanlegg,luftkjøler",false,2021-09-16T03:02:23.579Z,"Hjem og husholdning,Varme og klima"
Kjøkkenapparater,Airfryer,category,/3079/3079201/philips-avance-collection-airfryer-frityrkoker-hd9240.38x75!m.jpg,130 produkter,Airfryer,Airfryer,/kategorier/airfryer,products,Hjem og husholdning>Kjøkken>Kjøkkenapparater>Airfryer,1711025782615179265,12838,3816,Hjem og husholdning,"air,frityr,fryer,luft,luftfrityr",Airfryer,12838,"air,fryer,luftfrityr,luft,frityr",false,2021-09-16T03:02:23.579Z,"Hjem og husholdning,Kjøkken,Kjøkkenapparater"
Vinterlek,Akebrett og rattkjelke,category,/3055/3055858/original.130x75!m.jpg,42 produkter,Akebrett og rattkjelke,Akebrett og rattkjelke,/kategorier/akebrett-og-rattkjelke,products,Sport og friluftsliv>Vintersport>Vinterlek>Akebrett og rattkjelke,1711025782616227840,12781,1251,Sport og friluftsliv,"akematte,snowracer",Akebrett og rattkjelke,12781,"snowracer,akematte",false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Vintersport,Vinterlek"
Nettverk,"Aksesspunkt, extender og repeater",category,/1698/1698108/original.40x75!m.jpg,123 produkter,"Aksesspunkt, extender og repeater","Aksesspunkt, extender og repeater",/kategorier/aksesspunkt-extender-og-repeater,products,"Data>Nettverk>Aksesspunkt, extender og repeater",1711025782616227841,261,2482,Data,,"Aksesspunkt, extender og repeater",261,,false,2021-09-16T03:02:23.579Z,"Data,Nettverk"
Høyttalere og tilbehør,Aktiv høyttaler,category,/3019/3019502/original.94x75!m.jpg,153 produkter,Aktiv høyttaler,Aktiv høyttaler,/kategorier/aktiv-hoeyttaler,products,Lyd og bilde>HiFi>Høyttalere og tilbehør>Aktiv høyttaler,1711025782617276416,12638,1837,Lyd og bilde,,Aktiv høyttaler,12638,,false,2021-09-16T03:02:23.579Z,"Lyd og bilde,HiFi,Høyttalere og tilbehør"
Treningsklokke og sensor,Aktivitetsarmbånd,category,/2983/2983743/original.50x75!m.jpg,74 produkter,Aktivitetsarmbånd,Aktivitetsarmbånd,/kategorier/aktivitetsarmband,products,Sport og friluftsliv>Trening>Treningsklokke og sensor>Aktivitetsarmbånd,1711025782617276417,11182,3028,Sport og friluftsliv,"aktivitetsmåler,armbånd,fitnessarmbånd,klokke,pedometer,pedometere,skritteller,skrittellere,stegmålere,treningsarmbånd",Aktivitetsarmbånd,11182,"aktivitetsmåler,pedometer,pedometere,skritteller,skrittellere,treningsarmbånd,armbånd,stegmålere,klokke,fitnessarmbånd",false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Trening,Treningsklokke og sensor"
Smart strøm,Aktuator,category,/3214/3214123/i.68x75!m.jpg,892 produkter,Aktuator,Aktuator,/kategorier/aktuator,filter,Bygg og verktøy>Elektro>Smarthus>Smart strøm>Aktuator,1711025782643490816,13492,9706,Bygg og verktøy,,Aktuator,13492,,false,2021-09-16T03:02:23.579Z,"Bygg og verktøy,Elektro,Smarthus,Smart strøm"
Gitar,Akustisk gitar,category,/1488/1488283/akustisk%20gitar.76x75!m.jpg,33 produkter,Akustisk gitar,Akustisk gitar,/kategorier/akustisk-gitar,products,Lyd og bilde>Lydproduksjon og studio>Musikkinstrumenter>Gitar>Akustisk gitar,1711025782643490817,11246,1162,Lyd og bilde,"acoustic,guitar,halvakustisk",Akustisk gitar,11246,"halvakustisk,guitar,acoustic",false,2021-09-16T03:02:23.579Z,"Lyd og bilde,Lydproduksjon og studio,Musikkinstrumenter,Gitar"
Trommesett,Akustisk trommesett,category,/1747/1747238/original.114x75!m.jpg,16 produkter,Akustisk trommesett,Akustisk trommesett,/kategorier/akustisk-trommesett,products,Lyd og bilde>Lydproduksjon og studio>Musikkinstrumenter>Trommesett>Akustisk trommesett,1711025782644539392,11725,1010,Lyd og bilde,trommer,Akustisk trommesett,11725,trommer,false,2021-09-16T03:02:23.579Z,"Lyd og bilde,Lydproduksjon og studio,Musikkinstrumenter,Trommesett"
Utstyr til fisk,Akvariepumpe og akvariefilter,category,/3266/3266037/i.64x75!m.jpg,25 produkter,Akvariepumpe og akvariefilter,Akvariepumpe og akvariefilter,/kategorier/akvariepumpe-og-akvariefilter,products,Dyreutstyr>Utstyr til fisk>Akvariepumpe og akvariefilter,1711025782644539393,13730,1033,Dyreutstyr,,Akvariepumpe og akvariefilter,13730,,false,2021-09-16T03:02:23.579Z,"Dyreutstyr,Utstyr til fisk"
