epoch,model_id,Training_MASE,Training_SMAPE,Training_MSE,Training_MAE
0,2,0.954,0.15,808736.8626841968,543.6479497569164
0,6,0.923,0.182,5135.320587489764,50.36605381084754
0,9,0.953,0.154,114976.55931326347,182.9449685000393
0,10,0.909,0.167,22201.273001668374,95.9684466010865
0,11,0.884,0.277,1466.0993524714927,27.885093036768694
