
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
test_12256_MAPE: 99.93988
test_MASE_7_DAYS_17: 0.9986500144004822
mean_squared_error_proper_scale_18: 25.2273006439209
mean_absolute_error_proper_scale_18: 4.0211501121521
mean_absolute_percentage_error_proper_scale_18: 30.043519973754883
mase_proper_scale_18: 1.0490000247955322
smape_proper_scale_18: 0.33414
test_10320_MAE: 13.101
test_10320_MASE: 3.41765
test_10320_MSE: 191.54121
test_10320_MAPE: 103.52171
test_MASE_7_DAYS_18: 0.9968900084495544
mean_squared_error_proper_scale_19: 77.8006362915039
mean_absolute_error_proper_scale_19: 7.552309989929199
mean_absolute_percentage_error_proper_scale_19: 43.84661865234375
mase_proper_scale_19: 1.3731499910354614
smape_proper_scale_19: 0.44457
test_10030_MAE: 17.16865
test_10030_MASE: 3.12157
test_10030_MSE: 360.28326
test_10030_MAPE: 101.15081
test_MASE_7_DAYS_19: 0.9638000130653381
