dataset,parameters,errorvalue
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.004200247645971883,hidden_size_0:1,recurrent_dropout_0:0.12534752098343024,learning_rate:0.008858264960925904,batch_size:32,optimizer_name:Adam,number_of_epochs:31,score:0.25970256328582764,Trial number:13
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.08956181253428304,hidden_size_0:58,recurrent_dropout_0:0.11938473171740907,learning_rate:0.0013127088786877579,batch_size:32,optimizer_name:Adam,number_of_epochs:30,score:0.2459869384765625,Trial number:14
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.07625454163172846,hidden_size_0:19,recurrent_dropout_0:0.17440437189010805,learning_rate:5.894660595870989e-05,batch_size:32,optimizer_name:Adam,number_of_epochs:33,score:0.5003929734230042,Trial number:15
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.04550735579585984,hidden_size_0:12,recurrent_dropout_0:0.09365010594996875,learning_rate:0.000547669134101,batch_size:32,optimizer_name:Adam,number_of_epochs:24,score:0.2852915823459625,Trial number:16
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.1289742393646932,hidden_size_0:27,recurrent_dropout_0:0.15541911940769465,learning_rate:2.6368167947995808e-05,batch_size:32,optimizer_name:Adam,number_of_epochs:35,score:0.46166253089904785,Trial number:17
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.01960823483471793,hidden_size_0:55,recurrent_dropout_0:0.08345056204133733,learning_rate:0.004702521479202647,batch_size:32,optimizer_name:Adam,number_of_epochs:26,score:0.24096736311912537,Trial number:18
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.12476409333864233,hidden_size_0:47,recurrent_dropout_0:0.07353845508581151,learning_rate:0.0028748240858739007,batch_size:32,optimizer_name:Adam,number_of_epochs:26,score:0.24394790828227997,Trial number:19
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.051344337200507434,hidden_size_0:59,recurrent_dropout_0:0.24424419735240835,learning_rate:0.00042455344637387643,batch_size:32,optimizer_name:Adam,number_of_epochs:21,score:0.25093522667884827,Trial number:20
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.025053311647770523,hidden_size_0:69,recurrent_dropout_0:0.08427867281502545,learning_rate:0.0058143890964067165,batch_size:32,optimizer_name:Adam,number_of_epochs:29,score:0.245583176612854,Trial number:21
12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030: trial.number;Parameters;number_of_layers:1,dropout_0:0.1006639455863284,hidden_size_0:50,recurrent_dropout_0:0.15993348390265905,learning_rate:0.003284056941239453,batch_size:32,optimizer_name:Adam,number_of_epochs:21,score:0.2450254261493683,Trial number:22
