date,cat_id,product_id,root_cat_id,hits,clicks,popularity,cat_name
2019-02-18,11573,213048,128,2,0,1197,Nettverkskabler
2019-02-19,11091,241400,101,2,0,5732,3D-printer
2019-02-19,11573,424805,256,4,0,2394,Nettverkskabler
2019-02-20,11573,211757,128,1,0,1197,Nettverkskabler
2019-02-21,11091,241400,101,2,0,5732,3D-printer
2019-02-21,11573,211757,128,2,0,1197,Nettverkskabler
2019-02-22,11573,424805,256,3,0,2394,Nettverkskabler
2019-02-24,11573,424805,256,7,2,2394,Nettverkskabler
2019-02-25,11573,424805,256,4,0,2394,Nettverkskabler
2019-02-26,11573,211757,128,1,0,1197,Nettverkskabler
2019-02-27,11573,424805,256,9,2,2394,Nettverkskabler
2019-02-28,11573,211757,128,1,0,1197,Nettverkskabler
2019-03-01,11573,211757,128,1,0,1197,Nettverkskabler
2019-03-02,11091,241400,101,1,0,5732,3D-printer
2019-03-02,11573,211757,128,1,0,1197,Nettverkskabler
2019-03-04,11091,241400,101,2,1,5732,3D-printer
2019-03-04,11573,424805,256,3,0,2394,Nettverkskabler
2019-03-05,11573,424805,256,4,3,2394,Nettverkskabler
2019-03-06,11573,211757,128,1,0,1197,Nettverkskabler
2019-03-07,11573,424805,256,4,1,2394,Nettverkskabler
2019-03-08,11573,424805,256,4,0,2394,Nettverkskabler
2019-03-09,11573,211757,128,2,0,1197,Nettverkskabler
2019-03-10,11091,241400,101,1,0,5732,3D-printer
2019-03-10,11573,424805,256,3,3,2394,Nettverkskabler
2019-03-11,11573,213048,128,1,1,1197,Nettverkskabler
2019-03-12,11573,424805,256,4,3,2394,Nettverkskabler
2019-03-13,11091,241400,101,1,1,5732,3D-printer
2019-03-13,11573,424805,256,6,2,2394,Nettverkskabler
2019-03-14,11091,241400,101,1,0,5732,3D-printer
2019-03-14,11573,424805,256,3,0,2394,Nettverkskabler
2019-03-15,11573,424805,256,8,0,2394,Nettverkskabler
2019-03-16,11091,241400,101,1,0,5732,3D-printer
2019-03-16,11573,424805,256,20,0,2394,Nettverkskabler
2019-03-17,11573,213048,128,3,0,1197,Nettverkskabler
2019-03-18,11573,213048,128,3,0,1197,Nettverkskabler
2019-03-19,11573,424805,256,6,0,2394,Nettverkskabler
2019-03-20,11573,213048,128,2,0,1197,Nettverkskabler
2019-03-21,11573,213048,128,2,0,1197,Nettverkskabler
2019-03-22,11573,213048,128,1,0,1197,Nettverkskabler
2019-03-23,11573,424805,256,7,8,2394,Nettverkskabler
2019-03-24,11573,424805,256,3,2,2394,Nettverkskabler
2019-03-25,11091,241400,101,1,0,5732,3D-printer
2019-03-25,11573,213048,128,3,1,1197,Nettverkskabler
2019-03-26,11091,241400,101,1,0,5732,3D-printer
2019-03-26,11573,424805,256,7,1,2394,Nettverkskabler
2019-03-27,11573,424805,256,5,1,2394,Nettverkskabler
2019-03-28,11091,241400,101,1,0,5732,3D-printer
2019-03-28,11573,424805,256,4,3,2394,Nettverkskabler
2019-03-29,11573,424805,256,8,2,2394,Nettverkskabler
2019-03-30,11573,424805,256,3,0,2394,Nettverkskabler
2019-03-31,11091,241400,101,1,0,5732,3D-printer
2019-03-31,11573,211757,128,1,0,1197,Nettverkskabler
2019-04-01,11573,213048,128,3,0,1197,Nettverkskabler
2019-04-02,11091,241400,101,1,1,5732,3D-printer
2019-04-02,11573,424805,256,5,0,2394,Nettverkskabler
2019-04-03,11573,424805,256,4,0,2394,Nettverkskabler
2019-04-04,11573,213048,128,2,0,1197,Nettverkskabler
2019-04-05,11573,213048,128,2,0,1197,Nettverkskabler
2019-04-07,11091,241400,101,1,0,5732,3D-printer
2019-04-07,11573,211757,128,3,1,1197,Nettverkskabler
2019-04-08,11091,241400,101,1,0,5732,3D-printer
2019-04-08,11573,211757,128,2,1,1197,Nettverkskabler
2019-04-09,11091,241400,101,1,0,5732,3D-printer
2019-04-09,11573,424805,256,4,0,2394,Nettverkskabler
2019-04-10,11091,241400,101,1,0,5732,3D-printer
2019-04-10,11573,424805,256,5,2,2394,Nettverkskabler
2019-04-11,11573,213048,128,2,0,1197,Nettverkskabler
2019-04-14,11573,424805,256,4,3,2394,Nettverkskabler
2019-04-15,11573,424805,256,5,0,2394,Nettverkskabler
2019-04-16,11573,424805,256,8,3,2394,Nettverkskabler
2019-04-18,11573,211757,128,1,0,1197,Nettverkskabler
2019-04-19,11573,211757,128,1,0,1197,Nettverkskabler
2019-04-20,11091,241400,101,4,0,5732,3D-printer
2019-04-20,11573,211757,128,3,2,1197,Nettverkskabler
2019-04-21,11091,241400,101,5,0,5732,3D-printer
2019-04-21,11573,424805,256,4,0,2394,Nettverkskabler
2019-04-22,11091,241400,101,3,0,5732,3D-printer
2019-04-22,11573,213048,128,3,0,1197,Nettverkskabler
2019-04-23,11573,424805,256,6,1,2394,Nettverkskabler
2019-04-24,11091,241400,101,1,0,5732,3D-printer
2019-04-24,11573,424805,256,3,0,2394,Nettverkskabler
2019-04-25,11091,241400,101,1,0,5732,3D-printer
2019-04-25,11573,424805,256,9,2,2394,Nettverkskabler
2019-04-26,11091,241400,101,4,0,5732,3D-printer
2019-04-26,11573,424805,256,8,0,2394,Nettverkskabler
2019-04-27,11091,241400,101,3,1,5732,3D-printer
2019-04-27,11573,424805,256,4,0,2394,Nettverkskabler
2019-04-28,11573,424805,256,9,1,2394,Nettverkskabler
2019-04-29,11091,241400,101,2,0,5732,3D-printer
2019-04-29,11573,424805,256,6,0,2394,Nettverkskabler
2019-04-30,11573,424805,256,3,0,2394,Nettverkskabler
2019-05-01,11573,424805,256,6,0,2394,Nettverkskabler
2019-05-02,11573,213048,128,1,0,1197,Nettverkskabler
2019-05-03,11091,241400,101,2,0,5732,3D-printer
2019-05-03,11573,213048,128,2,0,1197,Nettverkskabler
2019-05-04,11091,241400,101,1,0,5732,3D-printer
2019-05-04,11573,424805,256,10,0,2394,Nettverkskabler
2019-05-05,11091,241400,101,2,0,5732,3D-printer
2019-05-05,11573,211757,128,5,1,1197,Nettverkskabler
2019-05-06,11091,241400,101,1,0,5732,3D-printer
2019-05-06,11573,424805,256,10,3,2394,Nettverkskabler
2019-05-07,11573,424805,256,7,5,2394,Nettverkskabler
2019-05-08,33,311569,101,1,0,10035,Tastatur
2019-05-08,11091,241400,101,2,0,5732,3D-printer
2019-05-08,11573,424805,256,6,0,2394,Nettverkskabler
2019-05-09,11091,241400,101,2,0,5732,3D-printer
2019-05-09,11573,424805,256,18,4,2394,Nettverkskabler
2019-05-10,11573,424805,256,18,0,2394,Nettverkskabler
2019-05-11,11573,213048,128,1,0,1197,Nettverkskabler
2019-05-12,11091,241400,101,1,0,5732,3D-printer
2019-05-12,11573,424805,256,6,0,2394,Nettverkskabler
