
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
test_MASE_7_DAYS_14: 0.9776399731636047
mean_squared_error_proper_scale_15: 16.028200149536133
mean_absolute_error_proper_scale_15: 3.3704700469970703
mean_absolute_percentage_error_proper_scale_15: 801033472.0
mase_proper_scale_15: 0.7778000235557556
smape_proper_scale_15: 0.81114
test_11866_MAE: 5.21444
test_11866_MASE: 1.20333
test_11866_MSE: 42.57391
test_11866_MAPE: 91194480.0
test_MASE_7_DAYS_15: 0.7149500250816345
mean_squared_error_proper_scale_16: 3176.283935546875
mean_absolute_error_proper_scale_16: 53.725341796875
mean_absolute_percentage_error_proper_scale_16: 90.40471649169922
mase_proper_scale_16: 3.0995399951934814
smape_proper_scale_16: 0.587
test_11400_MAE: 67.96975
test_11400_MASE: 3.92133
test_11400_MSE: 4901.09619
test_11400_MAPE: 100.39816
test_MASE_7_DAYS_16: 0.9172599911689758
mean_squared_error_proper_scale_17: 157509.359375
mean_absolute_error_proper_scale_17: 369.5458679199219
mean_absolute_percentage_error_proper_scale_17: 34.10136032104492
mase_proper_scale_17: 2.103679895401001
smape_proper_scale_17: 0.41771
test_12256_MAE: 1047.33752
test_12256_MASE: 5.96207
test_12256_MSE: 1137149.25
test_12256_MAPE: 99.93609
test_MASE_7_DAYS_17: 0.9835799932479858
mean_squared_error_proper_scale_18: 31.18000030517578
mean_absolute_error_proper_scale_18: 4.476709842681885
mean_absolute_percentage_error_proper_scale_18: 31.951980590820312
mase_proper_scale_18: 1.1678400039672852
smape_proper_scale_18: 0.374
test_10320_MAE: 13.1034
test_10320_MASE: 3.41828
test_10320_MSE: 191.60686
test_10320_MAPE: 103.54318
test_MASE_7_DAYS_18: 0.4352400004863739
mean_squared_error_proper_scale_19: 81.18656921386719
mean_absolute_error_proper_scale_19: 7.682769775390625
mean_absolute_percentage_error_proper_scale_19: 44.275638580322266
mase_proper_scale_19: 1.3968700170516968
smape_proper_scale_19: 0.45257
test_10030_MAE: 17.17504
test_10030_MASE: 3.12274
test_10030_MSE: 360.59183
test_10030_MAPE: 101.17862
test_MASE_7_DAYS_19: 0.5432299971580505
